Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Victoria Park Pref;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;VICP PREF
ALM Equity Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;ALM PREF
Oscar P. Pref;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;OP PREF
Hemfosa Pref;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;HEMF PREF
Prime Living Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;PRIME PREF B
Sdiptech Pref;Sverige;First North;Industri;Installation & VVS;SDIP PREF
Akelius R. Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;AKEL PREF
Tobin P. Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;TOBIN PREF
Omx Sthlm 30;Sverige;Index;-;-;OMXS30
Omx Sthlm 30 GI;Sverige;Index;-;-;OMXS30GI
Omx Sthlm All;Sverige;Index;-;-;OMXSPI
Omx Sthlm All GI;Sverige;Index;-;-;OMXSGI
Omx Sthlm 50 EW;Sverige;Index;-;-;OMXS50EW
Omx Sthlm 60 GI;Sverige;Index;-;-;OMXS60
Omx Sthlm 60;Sverige;Index;-;-;OMXS60PI
Omx Sthlm Large Cap;Sverige;Index;-;-;OMXSLCPI
Omx Sthlm Mid Cap;Sverige;Index;-;-;OMXSMCPI
Omx Sthlm Small Cap;Sverige;Index;-;-;OMXSSCPI
Omx Sthlm Oil&Gas;Sverige;Index;-;-;SX0001PI
Omx Sthlm Materials;Sverige;Index;-;-;SX1000PI
Omx Sthlm Industrial;Sverige;Index;-;-;SX2000PI
Omx Sthlm Consumer;Sverige;Index;-;-;SX3000PI
Omx Sthlm Health;Sverige;Index;-;-;SX4000PI
Omx Sthlm Services;Sverige;Index;-;-;SX5000PI
Omx Sthlm Telecom;Sverige;Index;-;-;SX6000PI
Omx Sthlm Utilities;Sverige;Index;-;-;SX7000PI
Omx Sthlm Financials;Sverige;Index;-;-;SX8000PI
Omx Sthlm Technology;Sverige;Index;-;-;SX9000PI
Omx Helsi 25;Finland;Index;-;-;OMXH25
Omx Helsi 15;Finland;Index;-;-;OMXH15
Omx Helsi All;Finland;Index;-;-;OMXHPI
Omx Helsi All GI;Finland;Index;-;-;OMXHGI
Omx Helsi Large Cap;Finland;Index;-;-;OMXHLCPI
Omx Helsi Mid Cap;Finland;Index;-;-;OMXHMCPI
Omx Helsi Small Cap;Finland;Index;-;-;OMXHSCPI
Omx Helsi Oil&Gas;Finland;Index;-;-;HX0001PI
Omx Helsi Materials;Finland;Index;-;-;HX1000PI
Omx Helsi Industrial;Finland;Index;-;-;HX2000PI
Omx Helsi Consumer;Finland;Index;-;-;HX3000PI
Omx Helsi Health;Finland;Index;-;-;HX4000PI
Omx Helsi Services;Finland;Index;-;-;HX5000PI
Omx Helsi Telecom;Finland;Index;-;-;HX6000PI
Omx Helsi Utilities;Finland;Index;-;-;HX7000PI
Omx Helsi Financials;Finland;Index;-;-;HX8000PI
Omx Helsi Technology;Finland;Index;-;-;HX9000PI
Amer Sports;Finland;Large Cap;Sällanköpsvaror;Detaljhandel;AMEAS
Cargotec;Finland;Large Cap;Industri;Tåg- & Lastbilstransport;CGCBV
Citycon;Finland;Large Cap;Finans & Fastighet;Fastighetsbolag;CTY1S
Elisa;Finland;Large Cap;Telekommunikation;Bredband & Telefoni;ELISA
Fiskars;Finland;Large Cap;Sällanköpsvaror;Hemelektronik;FSKRS
Fortum;Finland;Large Cap;Kraftförsörjning;Elförsörjning;FORTUM
Huhtamäki;Finland;Large Cap;Material;Förpackning;HUH1V
Kemira;Finland;Large Cap;Material;Kemikalier;KEMIRA
